TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 22:23;;FNIRSI 1013D;
1,44E-2;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,44E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,45E-2;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,45E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,46E-2;2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,46E-2;2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,46E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,47E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,47E-2;2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,48E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,48E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,48E-2;-6,00E-3;4,00E-3;;;;;;;;;;;;;;
